date,Susceptible,Infected,Recovered,Fatal,people_fully_vaccinated,school_closing,workplace_closing,cancel_events,transport_closing,stay_home_restrictions
2020-01-05,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-06,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-07,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-08,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-09,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-10,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-11,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-12,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-13,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-14,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-15,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-16,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-17,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-18,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-19,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-20,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-21,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-22,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-23,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-24,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-25,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-26,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-27,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-28,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-29,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-30,144478050,0,0,0,,0.0,0.0,0.0,0.0,0.0
2020-01-31,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-01,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-02,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-03,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-04,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-05,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-06,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-07,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-08,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-09,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-10,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-11,144478048,2,0,0,,0.0,0.0,0.0,0.0,0.0
2020-02-12,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-13,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-14,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-15,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-16,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-17,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-18,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-19,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-20,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-21,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-22,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-23,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-24,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-25,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-26,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-27,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-28,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-02-29,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-03-01,144478048,0,2,0,,0.0,0.0,0.0,0.0,0.0
2020-03-02,144478047,1,2,0,,0.0,0.0,0.0,0.0,0.0
2020-03-03,144478047,1,2,0,,0.0,0.0,0.0,0.0,0.0
2020-03-04,144478047,1,2,0,,0.0,0.0,0.0,0.0,0.0
2020-03-05,144478046,2,2,0,,0.0,0.0,0.0,0.0,0.0
2020-03-06,144478037,11,2,0,,0.0,0.0,0.0,0.0,0.0
2020-03-07,144478037,11,2,0,,0.0,0.0,0.0,0.0,0.0
2020-03-08,144478033,14,3,0,,0.0,0.0,0.0,0.0,0.0
2020-03-09,144478033,14,3,0,,0.0,0.0,0.0,0.0,0.0
2020-03-10,144478030,17,3,0,,0.0,0.0,2.0,0.0,0.0
2020-03-11,144478030,17,3,0,,0.0,0.0,2.0,0.0,0.0
2020-03-12,144478022,25,3,0,,0.0,0.0,2.0,0.0,0.0
2020-03-13,144478005,42,3,0,,0.0,0.0,2.0,0.0,0.0
2020-03-14,144477991,51,8,0,,1.0,0.0,2.0,0.0,0.0
2020-03-15,144477987,55,8,0,,1.0,0.0,2.0,0.0,0.0
2020-03-16,144477960,82,8,0,,1.0,0.0,2.0,0.0,0.0
2020-03-17,144477936,106,8,0,,1.0,2.0,2.0,0.0,0.0
2020-03-18,144477903,138,9,0,,1.0,2.0,2.0,0.0,0.0
2020-03-19,144477851,189,9,1,,2.0,2.0,2.0,0.0,0.0
2020-03-20,144477797,242,10,1,,2.0,2.0,2.0,0.0,0.0
2020-03-21,144477744,293,12,1,,3.0,2.0,2.0,0.0,0.0
2020-03-22,144477683,350,16,1,,3.0,2.0,2.0,0.0,0.0
2020-03-23,144477612,418,19,1,,3.0,2.0,2.0,0.0,0.0
2020-03-24,144477555,472,22,1,,3.0,2.0,2.0,0.0,0.0
2020-03-25,144477392,626,29,3,,3.0,2.0,2.0,0.0,0.0
2020-03-26,144477210,799,38,3,,3.0,2.0,2.0,0.0,0.0
2020-03-27,144477014,987,45,4,,3.0,2.0,2.0,0.0,0.0
2020-03-28,144476786,1211,49,4,,3.0,2.0,2.0,0.0,0.0
2020-03-29,144476516,1462,64,8,,3.0,2.0,2.0,0.0,0.0
2020-03-30,144476214,1761,66,9,,3.0,3.0,2.0,1.0,3.0
2020-03-31,144475713,2199,121,17,,3.0,3.0,2.0,1.0,3.0
2020-04-01,144475273,2563,190,24,,3.0,3.0,2.0,1.0,3.0
2020-04-02,144474502,3283,235,30,,3.0,3.0,2.0,1.0,3.0
2020-04-03,144473901,3834,281,34,,3.0,3.0,2.0,1.0,3.0
2020-04-04,144473319,4355,333,43,,3.0,3.0,2.0,1.0,3.0
